timestamp,size,anomaly
1739377172.889561,89,False
1739377172.889561,89,False
1739377172.889561,60,False
1739377172.889561,487,False
1739377172.889689,54,False
1739377172.891159,85,False
1739377172.891159,487,False
1739377172.891159,85,False
1739377172.891249,54,False
1739377172.891311,54,False
1739377173.211858,55,False
1739377173.231013,66,False
1739377174.347577,147,False
1739377174.347707,1493,False
1739377174.609738,89,False
1739377174.655141,54,False
1739377174.861786,46,False
1739377174.874066,66,False
1739377174.941386,1414,False
1739377175.346971,60,False
1739377175.346971,487,False
1739377175.346971,85,False
1739377175.347194,54,False
1739377176.253211,72,False
1739377176.25347,72,False
1739377176.285435,337,False
1739377176.285879,254,False
1739377176.287859,1292,False
1739377176.287988,1292,False
1739377176.679168,89,False
1739377177.19077,60,False
1739377177.806816,55,False
1739377177.811902,54,False
1739377178.011451,103,False
1739377219.668309,424,True
1739377219.668443,66,True
1739377219.763147,728,True
1739377220.508668,728,True
1739377220.591712,424,True
1739377220.591898,66,True
1739377220.62446,155,True
1739377220.910993,155,True
1739377221.225487,155,True
1739377221.837547,155,True
1739377221.892648,728,True
1739377222.375497,143,True
1739377222.375578,639,True
1739377223.043195,155,True
1739377224.010028,81,True
1739377224.01025,81,True
1739377313.161682,348,False
1739377313.161682,348,False
1739377313.179412,348,False
1739377313.179412,348,False
1739377313.200176,90,False
1739377313.200176,90,False
1739377313.200491,46,False
1739377313.200491,46,False
1739377313.201098,87,False
1739377313.201098,87,False
1739377313.201429,67,False
1739377313.201429,67,False
1739377313.20146,42,False
1739377313.20146,42,False
1739377313.211003,42,False
1739377313.211003,42,False
1739377313.211049,92,False
1739377313.211049,92,False
1739377313.228373,159,False
1739377313.228373,159,False
1739377313.266247,120,False
1739377313.266247,120,False
1739377313.356266,42,False
1739377313.356266,42,False
1739377313.356544,46,False
1739377313.356544,46,False
1739377313.356666,78,False
1739377313.356666,78,False
1739377313.356719,62,False
1739377313.356719,62,False
1739377313.35675,110,False
1739377313.35675,110,False
1739377313.357481,71,False
1739377313.357481,71,False
1739377313.357805,71,False
1739377313.357805,71,False
1739377313.386275,103,False
1739377313.386275,103,False
1739377313.386275,132,False
1739377313.386275,132,False
1739377313.387432,66,False
1739377313.387432,66,False
1739377313.432218,66,False
1739377313.432218,66,False
1739377313.432422,54,False
1739377313.432422,54,False
1739377313.433417,2110,False
1739377313.433417,2110,False
1739377313.450985,54,False
1739377313.450985,54,False
1739377313.452877,54,False
1739377313.452877,54,False
1739377313.452877,1414,False
1739377313.452877,1414,False
1739377313.452877,69,False
1739377313.452877,69,False
1739377313.453004,54,False
1739377313.453004,54,False
1739377313.453747,118,False
1739377313.453747,118,False
1739377313.454025,146,False
1739377313.454025,146,False
1739377313.454452,6234,False
